episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
515,-30.45,2,0,3,0.1,0.001,1.1843
516,-31.6,2,0,3,0.1,0.001,0.7999
517,-30.19,2,0,3,0.1,0.001,1.2702
518,-27.33,3,0,4,0.1,0.001,1.4183
519,-15.81,6,0,7,0.1,0.001,2.0267
520,-31.95,2,0,3,0.1,0.001,0.6844
521,-24.73,3,0,4,0.1,0.001,2.0664
522,-31.77,1,0,2,0.1,0.001,1.6167
523,-27.38,3,0,4,0.1,0.001,1.4047
524,-32.02,1,0,2,0.1,0.001,1.4892
525,-29.09,3,0,4,0.1,0.001,0.9764
526,-29.75,2,0,3,0.1,0.001,1.4168
527,-23.57,4,0,5,0.1,0.001,1.6863
528,-30.33,2,0,3,0.1,0.001,1.2226
529,-32.39,1,0,2,0.1,0.001,1.3049
530,-29.11,2,0,3,0.1,0.001,1.6284
531,-24.72,4,0,5,0.1,0.001,1.4553
532,-30.61,2,0,3,0.1,0.001,1.1297
